,Nb_Ph.,Ph_calls,Dur.,Nb_con_obj,Mo,Nb_people.,age,Salary,Y
31,3.0,4.0,143.0,11.0,116.0,1.0,32.0,58000.0,2.0403075437660654
32,3.0,30.0,200.0,14.0,50.0,2.0,22.0,79000.0,198.23636523224104
33,3.0,5.0,55.0,14.0,33.0,1.0,38.0,85000.0,-108.17044677472971
34,3.0,3.0,166.0,13.0,99.0,2.0,26.0,90000.0,51.66310347727282
35,3.0,5.0,96.0,15.0,2.0,2.0,29.0,52000.0,-294.0122082006893
36,4.0,18.0,109.0,7.0,33.0,1.0,24.0,48000.0,-30.396702895627243
37,3.0,12.0,23.0,13.0,120.0,2.0,26.0,32000.0,-89.76135803316892
38,2.0,4.0,65.0,5.0,70.0,2.0,21.0,66000.0,-164.2286765320885
39,3.0,2.0,90.0,15.0,78.0,1.0,29.0,79000.0,-60.967018958194814
40,3.0,2.0,208.0,8.0,61.0,2.0,26.0,89000.0,13.053860224462774
41,3.0,22.0,65.0,9.0,71.0,2.0,30.0,67000.0,-40.680395029474084
42,3.0,1.0,115.0,14.0,125.0,2.0,26.0,44000.0,-62.395168611564664
43,3.0,2.0,28.0,5.0,130.0,2.0,22.0,63000.0,-185.4657283342526
44,2.0,13.0,161.0,11.0,41.0,2.0,20.0,54000.0,-123.57772928463733
45,2.0,4.0,152.0,15.0,1.0,3.0,26.0,35000.0,-217.9870379319831
46,2.0,11.0,162.0,13.0,130.0,1.0,27.0,61000.0,111.00947575608858
47,3.0,19.0,199.0,10.0,51.0,3.0,26.0,40000.0,49.42919314755521
48,3.0,11.0,149.0,8.0,143.0,1.0,25.0,80000.0,118.34875325451381
49,4.0,23.0,104.0,16.0,86.0,2.0,22.0,90000.0,189.55540598909533
50,4.0,8.0,163.0,11.0,54.0,2.0,27.0,46000.0,-126.74793532131085
51,2.0,4.0,126.0,12.0,27.0,2.0,30.0,68000.0,-81.5629301271733
52,3.0,10.0,133.0,9.0,65.0,2.0,25.0,59000.0,3.4876449968032546
53,3.0,27.0,102.0,1.0,187.0,2.0,27.0,73000.0,217.13617776814382
54,3.0,10.0,82.0,9.0,112.0,2.0,29.0,67000.0,-24.426437497556826
55,4.0,22.0,47.0,8.0,149.0,2.0,32.0,64000.0,10.792497855711886
56,2.0,3.0,110.0,12.0,110.0,2.0,28.0,74000.0,-46.65074777818132
57,4.0,22.0,137.0,13.0,114.0,2.0,22.0,70000.0,142.58327941701148
58,3.0,10.0,148.0,10.0,30.0,2.0,30.0,75000.0,-70.0569250697254
59,3.0,1.0,5.0,15.0,187.0,2.0,28.0,27000.0,-148.97369210393003
60,3.0,12.0,138.0,11.0,103.0,2.0,28.0,54000.0,-116.95136880930687
61,3.0,22.0,38.0,18.0,126.0,2.0,29.0,59000.0,25.231763381263573
62,2.0,12.0,84.0,8.0,155.0,1.0,29.0,51000.0,22.762580833013246
63,4.0,13.0,92.0,13.0,121.0,1.0,28.0,72000.0,38.95823581894972
64,4.0,15.0,159.0,8.0,46.0,1.0,26.0,76000.0,60.87355110716561
65,3.0,3.0,145.0,18.0,84.0,2.0,32.0,56000.0,-64.79659444874433
66,3.0,3.0,180.0,13.0,180.0,2.0,31.0,28000.0,49.01841850406339
67,2.0,21.0,43.0,14.0,138.0,1.0,26.0,79000.0,105.21579149839368
68,2.0,22.0,124.0,12.0,110.0,3.0,30.0,80000.0,164.10257891397558
69,3.0,7.0,127.0,6.0,134.0,2.0,38.0,55000.0,-62.43024975363686
70,3.0,5.0,42.0,12.0,45.0,2.0,36.0,52000.0,-222.08279138249435
71,3.0,15.0,62.0,10.0,93.0,2.0,26.0,99000.0,118.57196093485777
72,4.0,4.0,138.0,12.0,131.0,1.0,35.0,113000.0,203.6932716435096
73,4.0,3.0,94.0,10.0,121.0,1.0,30.0,68000.0,-90.33806789728332
74,2.0,22.0,129.0,7.0,126.0,2.0,24.0,72000.0,164.25210592285444
75,2.0,16.0,95.0,8.0,112.0,2.0,30.0,80000.0,-14.10472497401652
76,3.0,10.0,147.0,15.0,43.0,2.0,34.0,76000.0,-110.28548509846661
77,3.0,7.0,39.0,11.0,81.0,1.0,31.0,27000.0,-306.21978272458927
78,4.0,14.0,123.0,9.0,41.0,2.0,33.0,74000.0,76.50554525404928
79,3.0,17.0,125.0,13.0,8.0,3.0,28.0,53000.0,-90.3178800458225
80,4.0,7.0,250.0,12.0,66.0,2.0,31.0,70000.0,43.25991997418997
81,3.0,29.0,79.0,6.0,51.0,2.0,21.0,77000.0,25.984980988079098
82,4.0,2.0,59.0,12.0,41.0,2.0,25.0,30000.0,-262.0832129045018
83,2.0,13.0,116.0,10.0,95.0,2.0,32.0,53000.0,35.845633183787776
84,3.0,22.0,112.0,12.0,129.0,2.0,25.0,49000.0,67.53612959869001
85,2.0,5.0,148.0,11.0,36.0,3.0,28.0,70000.0,-70.6911711707355
86,4.0,30.0,85.0,7.0,43.0,2.0,28.0,48000.0,-87.97505768188952
87,4.0,23.0,133.0,13.0,165.0,1.0,30.0,71000.0,232.2435043050026
88,3.0,24.0,102.0,12.0,118.0,2.0,30.0,40000.0,1.730055628867703
89,3.0,7.0,114.0,9.0,32.0,2.0,31.0,99000.0,-9.158577125934812
90,3.0,14.0,92.0,15.0,62.0,3.0,26.0,92000.0,-23.35191657001768
91,3.0,17.0,43.0,12.0,116.0,1.0,31.0,47000.0,-89.36829090584905
92,4.0,30.0,110.0,10.0,101.0,2.0,31.0,66000.0,142.76691230938968
93,3.0,17.0,106.0,9.0,140.0,1.0,35.0,72000.0,-67.09441307909375
94,3.0,13.0,127.0,18.0,111.0,2.0,24.0,91000.0,146.42288271309536
95,2.0,13.0,116.0,19.0,121.0,2.0,31.0,71000.0,182.15314771192368
96,3.0,12.0,134.0,16.0,188.0,2.0,29.0,65000.0,147.65582970638948
97,3.0,6.0,68.0,12.0,102.0,2.0,25.0,33000.0,-221.6764239203129
98,3.0,24.0,60.0,14.0,163.0,2.0,24.0,111000.0,231.9534074277749
99,3.0,8.0,116.0,6.0,137.0,2.0,26.0,61000.0,-73.13940306518354
100,3.0,21.0,43.0,14.0,128.0,2.0,38.0,103000.0,130.81894762391767
101,4.0,3.0,51.0,12.0,88.0,2.0,26.0,62000.0,-154.70910234958788
102,3.0,13.0,160.0,6.0,189.0,2.0,24.0,81000.0,245.9244172554887
103,3.0,15.0,96.0,15.0,3.0,2.0,31.0,32000.0,-147.24009908455332
104,3.0,7.0,79.0,8.0,82.0,2.0,33.0,54000.0,-187.32106266821782
105,2.0,23.0,24.0,14.0,151.0,3.0,28.0,73000.0,-11.301992151590113
106,4.0,14.0,34.0,10.0,1.0,2.0,30.0,72000.0,-219.89531390485666
107,2.0,14.0,77.0,6.0,87.0,1.0,26.0,109000.0,60.8164170530826
108,3.0,8.0,55.0,16.0,113.0,2.0,29.0,76000.0,-25.068910501277685
109,3.0,9.0,96.0,16.0,156.0,1.0,32.0,36000.0,-7.178143213461922
110,4.0,31.0,103.0,19.0,189.0,3.0,29.0,57000.0,293.99774296820686
111,3.0,5.0,145.0,18.0,75.0,1.0,27.0,64000.0,-72.52952689452177
112,3.0,8.0,60.0,14.0,72.0,3.0,22.0,57000.0,-209.39090810099736
113,3.0,1.0,106.0,19.0,40.0,2.0,25.0,61000.0,-166.7609456774142
114,4.0,4.0,174.0,9.0,117.0,2.0,23.0,93000.0,74.61614834677997
115,2.0,15.0,131.0,15.0,132.0,1.0,25.0,62000.0,71.30787333189406
116,3.0,12.0,161.0,12.0,104.0,1.0,21.0,71000.0,114.07723659097103
117,2.0,14.0,76.0,10.0,70.0,1.0,24.0,38000.0,-164.3433121787312
118,4.0,14.0,112.0,11.0,79.0,2.0,30.0,47000.0,-31.907513905942814
119,3.0,10.0,62.0,5.0,149.0,2.0,29.0,94000.0,-30.543528375510924
120,3.0,27.0,89.0,5.0,85.0,2.0,25.0,63000.0,33.59508789184375
121,3.0,19.0,112.0,9.0,37.0,2.0,25.0,63000.0,-73.96689606251931
122,3.0,1.0,78.0,12.0,191.0,2.0,23.0,90000.0,64.93858202936886
123,3.0,19.0,122.0,13.0,148.0,2.0,30.0,81000.0,277.580816166767
124,3.0,17.0,51.0,12.0,123.0,2.0,22.0,81000.0,65.21142151177467
125,3.0,15.0,61.0,5.0,75.0,2.0,31.0,54000.0,-366.5565423516251
126,3.0,3.0,12.0,9.0,147.0,2.0,34.0,46000.0,-191.2839996478559
127,3.0,17.0,46.0,13.0,127.0,2.0,22.0,92000.0,86.04550232511662
128,2.0,4.0,114.0,12.0,159.0,3.0,30.0,69000.0,80.82401228420923
129,2.0,5.0,100.0,8.0,194.0,2.0,25.0,51000.0,99.19744853344275
130,3.0,11.0,126.0,7.0,125.0,2.0,28.0,76000.0,-23.59426416018593
131,3.0,19.0,116.0,11.0,205.0,2.0,35.0,38000.0,139.88219637630257
132,3.0,12.0,46.0,25.0,128.0,2.0,29.0,78000.0,87.68977919759021
133,3.0,4.0,129.0,2.0,154.0,2.0,22.0,49000.0,35.28545241021368
134,3.0,26.0,72.0,15.0,55.0,2.0,25.0,87000.0,131.33181958017957
135,3.0,10.0,80.0,8.0,145.0,3.0,25.0,78000.0,50.2106504211437
136,3.0,13.0,88.0,4.0,83.0,1.0,34.0,35000.0,-73.43629453752119
137,4.0,9.0,103.0,4.0,179.0,1.0,27.0,58000.0,-14.77628641204862
138,3.0,18.0,122.0,11.0,40.0,1.0,30.0,60000.0,-60.33954453506741
139,3.0,19.0,93.0,16.0,50.0,1.0,31.0,62000.0,12.354677172604344
140,3.0,20.0,99.0,11.0,81.0,2.0,35.0,54000.0,20.75680461055465
141,3.0,5.0,69.0,11.0,116.0,2.0,32.0,61000.0,-107.11113721344199
142,4.0,4.0,115.0,11.0,187.0,2.0,31.0,74000.0,56.41612758341631
143,3.0,11.0,100.0,9.0,103.0,1.0,23.0,72000.0,4.531366494628315
144,2.0,41.0,56.0,12.0,47.0,2.0,28.0,41000.0,59.10378205628993
145,3.0,21.0,110.0,8.0,91.0,2.0,22.0,68000.0,39.773493406525155
146,3.0,9.0,116.0,17.0,189.0,3.0,33.0,74000.0,151.2462687328768
147,3.0,18.0,149.0,13.0,85.0,3.0,23.0,33000.0,28.074243572635524
148,3.0,15.0,144.0,10.0,134.0,2.0,24.0,86000.0,142.00733746092362
149,3.0,18.0,85.0,22.0,16.0,2.0,33.0,97000.0,72.50261315586958
150,3.0,9.0,181.0,14.0,110.0,2.0,29.0,82000.0,246.9350422737579
151,3.0,14.0,98.0,12.0,156.0,2.0,30.0,54000.0,94.3089760931766
152,3.0,27.0,130.0,13.0,43.0,1.0,33.0,108000.0,160.06343433895063
153,3.0,12.0,109.0,7.0,132.0,1.0,22.0,85000.0,11.480902313675443
154,3.0,3.0,24.0,8.0,193.0,2.0,33.0,80000.0,-8.819118481760047
155,4.0,8.0,64.0,10.0,151.0,2.0,30.0,95000.0,-54.46970925036178
156,3.0,13.0,139.0,12.0,46.0,3.0,31.0,38000.0,-71.4318688911134
157,3.0,8.0,124.0,15.0,144.0,2.0,29.0,61000.0,113.33822875553226
158,3.0,9.0,104.0,11.0,59.0,2.0,31.0,42000.0,-256.88321779896836
159,3.0,2.0,33.0,12.0,0.0,3.0,29.0,51000.0,-259.0448734750084
160,3.0,8.0,79.0,10.0,107.0,3.0,22.0,80000.0,23.584083793814155
161,3.0,10.0,53.0,4.0,61.0,2.0,33.0,75000.0,-113.20953626902394
162,2.0,28.0,95.0,9.0,76.0,1.0,38.0,60000.0,-2.6419118880942847
163,3.0,21.0,92.0,9.0,144.0,2.0,29.0,48000.0,84.63585987797839
164,2.0,11.0,143.0,13.0,113.0,3.0,28.0,72000.0,-49.08109595777408
165,2.0,20.0,146.0,5.0,157.0,2.0,29.0,45000.0,165.80964190047754
166,3.0,11.0,1.0,10.0,134.0,2.0,34.0,67000.0,-41.92902671880989
167,3.0,11.0,182.0,15.0,127.0,1.0,30.0,36000.0,12.653929509630082
168,3.0,5.0,7.0,12.0,150.0,2.0,28.0,70000.0,-153.14832559070453
169,3.0,11.0,101.0,10.0,83.0,2.0,27.0,32000.0,-125.16261234479902
170,3.0,25.0,88.0,16.0,65.0,1.0,28.0,57000.0,16.916649797842965
171,3.0,17.0,139.0,7.0,173.0,2.0,26.0,69000.0,189.83966935703074
172,4.0,6.0,82.0,13.0,92.0,2.0,24.0,44000.0,-100.53638118775
173,2.0,19.0,91.0,12.0,123.0,2.0,39.0,57000.0,96.80009017073499
174,3.0,14.0,80.0,19.0,47.0,2.0,22.0,74000.0,6.389826371813459
175,3.0,16.0,215.0,9.0,121.0,2.0,27.0,74000.0,213.6757688983258
176,3.0,3.0,108.0,14.0,118.0,2.0,38.0,57000.0,-71.2659993327002
177,3.0,21.0,89.0,13.0,86.0,3.0,32.0,72000.0,12.007381633734916
178,3.0,4.0,67.0,11.0,140.0,1.0,30.0,92000.0,28.01012386067911
179,3.0,6.0,110.0,11.0,112.0,1.0,33.0,40000.0,-85.85794488483934
180,3.0,6.0,116.0,11.0,151.0,2.0,29.0,72000.0,56.62157364303254
181,3.0,13.0,54.0,4.0,83.0,1.0,27.0,47000.0,-90.87039899867875
182,3.0,20.0,118.0,9.0,180.0,2.0,20.0,62000.0,195.89596735513445
183,4.0,7.0,160.0,14.0,46.0,2.0,27.0,52000.0,-14.256444112407138
184,4.0,11.0,115.0,14.0,53.0,2.0,28.0,85000.0,14.297163306688091
185,3.0,2.0,98.0,6.0,193.0,3.0,22.0,82000.0,100.11007971069812
186,3.0,9.0,110.0,5.0,85.0,2.0,34.0,70000.0,-43.22616602679023
187,3.0,7.0,94.0,12.0,126.0,3.0,32.0,32000.0,-130.9941437544979
188,3.0,7.0,136.0,8.0,100.0,2.0,22.0,93000.0,57.21210297959909
189,3.0,7.0,94.0,12.0,131.0,3.0,24.0,67000.0,49.454639826508725
190,3.0,37.0,86.0,9.0,38.0,2.0,28.0,31000.0,-45.5734034911553
191,3.0,16.0,103.0,12.0,128.0,2.0,28.0,46000.0,-14.010114225266449
192,3.0,16.0,175.0,10.0,166.0,2.0,31.0,86000.0,366.0501410871073
193,3.0,14.0,2.0,5.0,214.0,1.0,30.0,59000.0,-45.67706874580181
194,3.0,24.0,5.0,8.0,170.0,2.0,29.0,70000.0,34.57920377393625
195,3.0,6.0,84.0,12.0,85.0,2.0,30.0,76000.0,-79.84944030189604
196,4.0,16.0,33.0,11.0,59.0,1.0,28.0,87000.0,-16.97072070001478
197,3.0,8.0,188.0,11.0,82.0,2.0,25.0,46000.0,36.79991444045288
198,3.0,8.0,84.0,8.0,171.0,1.0,27.0,79000.0,20.20950915723101
199,3.0,16.0,94.0,11.0,62.0,2.0,29.0,33000.0,-134.0284204693414
200,2.0,11.0,58.0,16.0,123.0,3.0,26.0,79000.0,46.11523198176728
201,3.0,18.0,26.0,5.0,154.0,3.0,23.0,37000.0,-76.54353911870956
202,3.0,29.0,77.0,12.0,90.0,2.0,31.0,42000.0,19.6161344476168
203,3.0,18.0,78.0,7.0,76.0,2.0,30.0,79000.0,-204.2556970336679
204,2.0,28.0,100.0,5.0,96.0,2.0,29.0,72000.0,105.94142346213012
205,4.0,16.0,132.0,5.0,30.0,2.0,29.0,76000.0,-249.4496879032362
206,3.0,17.0,30.0,10.0,203.0,2.0,31.0,87000.0,99.65710368878987
207,3.0,38.0,95.0,12.0,40.0,2.0,33.0,26000.0,27.650926900484272
208,4.0,19.0,106.0,15.0,73.0,2.0,34.0,57000.0,45.65592571195543
209,2.0,14.0,86.0,13.0,144.0,3.0,30.0,56000.0,57.865180143105114
210,2.0,12.0,79.0,9.0,169.0,2.0,31.0,72000.0,124.7877620266734
211,4.0,8.0,51.0,3.0,1.0,1.0,23.0,74000.0,-261.3487172244067
212,3.0,11.0,101.0,8.0,137.0,1.0,27.0,66000.0,98.8582354661169
213,3.0,17.0,101.0,17.0,26.0,1.0,32.0,62000.0,-45.09064350709898
214,2.0,5.0,110.0,7.0,99.0,2.0,36.0,83000.0,69.04860836523234
215,3.0,26.0,158.0,5.0,72.0,2.0,34.0,48000.0,128.3694753896234
216,4.0,5.0,163.0,9.0,26.0,2.0,32.0,67000.0,-46.58202598241389
217,3.0,16.0,64.0,10.0,118.0,2.0,28.0,84000.0,22.48535577151319
218,3.0,9.0,228.0,13.0,99.0,3.0,27.0,83000.0,251.10337017736526
219,4.0,5.0,189.0,17.0,173.0,3.0,28.0,75000.0,213.07269210135001
220,3.0,9.0,64.0,7.0,98.0,2.0,29.0,75000.0,-146.8661214744886
221,3.0,12.0,102.0,15.0,103.0,3.0,23.0,72000.0,31.16683188270237
222,3.0,11.0,138.0,13.0,182.0,1.0,24.0,80000.0,191.85632768671118
223,3.0,10.0,77.0,6.0,109.0,2.0,31.0,86000.0,19.016871190793232
224,3.0,1.0,134.0,11.0,56.0,3.0,29.0,50000.0,-112.42026529847507
225,2.0,35.0,128.0,11.0,125.0,2.0,29.0,58000.0,148.85278497165416
226,4.0,11.0,80.0,18.0,131.0,2.0,25.0,58000.0,-14.624137032744493
227,3.0,9.0,62.0,7.0,41.0,3.0,24.0,85000.0,-132.71282876417087
228,3.0,28.0,74.0,8.0,78.0,2.0,30.0,71000.0,-6.379147687548574
229,3.0,6.0,61.0,8.0,136.0,2.0,22.0,86000.0,-17.43847765294811
230,4.0,8.0,81.0,5.0,159.0,2.0,33.0,61000.0,14.538539838140347
231,2.0,6.0,180.0,18.0,43.0,2.0,29.0,71000.0,-21.56233582122848
232,3.0,13.0,95.0,9.0,60.0,3.0,29.0,55000.0,-70.35846447038926
233,3.0,4.0,18.0,26.0,50.0,2.0,27.0,68000.0,-157.1367363250306
234,2.0,2.0,78.0,8.0,105.0,2.0,29.0,56000.0,-119.96571502162234
235,3.0,7.0,13.0,14.0,2.0,2.0,20.0,70000.0,-245.60825414845658
236,3.0,10.0,22.0,9.0,113.0,3.0,33.0,63000.0,-53.02591939620038
237,2.0,15.0,153.0,5.0,149.0,2.0,27.0,61000.0,135.29304177587426
238,3.0,7.0,78.0,5.0,76.0,2.0,32.0,110000.0,22.122457792756535
239,3.0,4.0,142.0,8.0,95.0,1.0,32.0,62000.0,-17.006191906550566
240,2.0,7.0,152.0,16.0,119.0,2.0,33.0,90000.0,138.61936823410312
241,3.0,1.0,94.0,14.0,68.0,3.0,27.0,72000.0,-66.8862272723886
242,3.0,14.0,106.0,10.0,2.0,3.0,29.0,85000.0,-44.920190108086715
243,2.0,20.0,195.0,10.0,112.0,2.0,23.0,75000.0,260.7039308654496
244,2.0,24.0,206.0,19.0,145.0,2.0,32.0,79000.0,398.7239126722194
245,3.0,16.0,100.0,21.0,104.0,2.0,20.0,90000.0,88.1547329765067
246,2.0,9.0,7.0,10.0,93.0,2.0,27.0,57000.0,-177.8370685542438
247,3.0,7.0,129.0,8.0,128.0,1.0,30.0,77000.0,89.80676881182586
248,3.0,30.0,6.0,12.0,82.0,2.0,22.0,43000.0,-117.05559032026571
249,3.0,12.0,98.0,4.0,94.0,2.0,27.0,93000.0,44.06158014270445
250,3.0,20.0,126.0,25.0,67.0,2.0,27.0,57000.0,63.254104029117535
251,3.0,8.0,122.0,9.0,27.0,2.0,29.0,75000.0,-170.9836200000934
252,3.0,10.0,123.0,14.0,117.0,3.0,31.0,83000.0,62.973528340561685
253,3.0,22.0,91.0,13.0,90.0,2.0,27.0,52000.0,-23.39498531023124
254,3.0,1.0,126.0,10.0,61.0,2.0,23.0,43000.0,-186.5916597730436
255,3.0,11.0,109.0,10.0,23.0,3.0,26.0,68000.0,-148.52733758137083
256,2.0,29.0,115.0,10.0,70.0,2.0,37.0,71000.0,56.42161817732377
257,3.0,22.0,68.0,16.0,96.0,2.0,20.0,62000.0,44.971215532046536
258,3.0,7.0,97.0,8.0,93.0,3.0,23.0,114000.0,41.74597859296098
259,3.0,17.0,76.0,13.0,105.0,2.0,27.0,66000.0,7.476444201370061
260,4.0,12.0,97.0,17.0,94.0,3.0,29.0,40000.0,-46.90956590640546
261,3.0,4.0,12.0,9.0,198.0,3.0,27.0,88000.0,44.27787691860651
262,2.0,22.0,20.0,7.0,73.0,2.0,28.0,65000.0,-88.96451606209315
263,3.0,3.0,122.0,4.0,28.0,2.0,34.0,52000.0,-196.56960149846424
264,3.0,20.0,114.0,9.0,63.0,3.0,26.0,82000.0,64.47096262592673
265,2.0,20.0,38.0,10.0,62.0,2.0,32.0,98000.0,59.24099037874433
266,4.0,14.0,64.0,14.0,88.0,2.0,22.0,59000.0,-108.1424175103279
267,3.0,8.0,151.0,14.0,154.0,2.0,32.0,67000.0,141.0498069822829
268,3.0,16.0,206.0,12.0,145.0,3.0,26.0,66000.0,249.3924518865721
269,3.0,17.0,101.0,10.0,158.0,2.0,27.0,82000.0,109.71622356744396
270,3.0,13.0,124.0,8.0,76.0,2.0,26.0,62000.0,31.904899019046418
271,2.0,14.0,80.0,8.0,110.0,2.0,30.0,70000.0,-77.29539562116078
272,3.0,21.0,131.0,6.0,90.0,1.0,28.0,99000.0,122.55854932616964
273,3.0,5.0,136.0,8.0,91.0,2.0,28.0,32000.0,-143.67177571775
274,3.0,27.0,63.0,8.0,37.0,1.0,27.0,38000.0,-58.181730367701135
275,3.0,13.0,52.0,14.0,157.0,2.0,31.0,46000.0,37.93369786891233
276,4.0,22.0,66.0,8.0,138.0,2.0,30.0,91000.0,171.4522142192304
277,3.0,3.0,17.0,13.0,116.0,2.0,25.0,60000.0,-215.40369249386094
278,3.0,7.0,227.0,10.0,177.0,1.0,28.0,105000.0,326.2187115154611
279,3.0,13.0,146.0,2.0,75.0,3.0,30.0,83000.0,101.32467772252718
280,3.0,20.0,66.0,8.0,155.0,2.0,24.0,33000.0,-32.970822601236414
281,3.0,27.0,108.0,5.0,201.0,1.0,24.0,58000.0,222.94187928802515
282,3.0,9.0,4.0,17.0,84.0,1.0,28.0,65000.0,-125.2864629076853
283,3.0,4.0,81.0,14.0,104.0,2.0,30.0,37000.0,-123.66119483929218
284,3.0,8.0,74.0,17.0,116.0,2.0,26.0,71000.0,-131.910386519317
285,3.0,17.0,77.0,16.0,53.0,2.0,27.0,88000.0,31.814713492890878
286,3.0,4.0,74.0,13.0,45.0,1.0,27.0,55000.0,-199.12385870362533
287,4.0,4.0,81.0,8.0,126.0,2.0,23.0,28000.0,-187.09850991667713
288,4.0,22.0,61.0,8.0,79.0,2.0,26.0,65000.0,-114.61936929835633
289,3.0,17.0,144.0,15.0,77.0,2.0,33.0,64000.0,26.011638462512444
290,3.0,17.0,150.0,12.0,127.0,2.0,31.0,61000.0,124.66525226493279
291,3.0,6.0,118.0,11.0,48.0,1.0,27.0,52000.0,-153.90844929401243
292,3.0,12.0,123.0,17.0,72.0,2.0,21.0,90000.0,145.04583872153404
293,3.0,23.0,29.0,16.0,165.0,2.0,32.0,71000.0,101.9335052285428
294,3.0,13.0,163.0,5.0,26.0,3.0,24.0,71000.0,-67.83117084995123
295,2.0,18.0,145.0,17.0,114.0,2.0,26.0,43000.0,46.73482081054637
296,2.0,29.0,69.0,7.0,221.0,1.0,33.0,86000.0,295.05496171119313
297,3.0,12.0,55.0,8.0,122.0,2.0,29.0,79000.0,-74.22211175868401
298,3.0,2.0,66.0,21.0,102.0,2.0,24.0,29000.0,-182.0633513390789
299,3.0,6.0,76.0,8.0,77.0,2.0,26.0,53000.0,-127.07050221237172
300,3.0,10.0,172.0,6.0,78.0,2.0,33.0,53000.0,-52.322423599347395
301,3.0,7.0,102.0,11.0,125.0,2.0,29.0,57000.0,31.6446230524509
302,3.0,16.0,39.0,13.0,183.0,2.0,29.0,74000.0,93.53187114192049
303,3.0,29.0,128.0,19.0,77.0,2.0,30.0,86000.0,243.06278935171025
304,2.0,25.0,151.0,6.0,103.0,3.0,32.0,35000.0,-9.344499074834417
305,4.0,12.0,47.0,16.0,70.0,2.0,27.0,86000.0,-215.9169351522577
306,3.0,7.0,138.0,11.0,80.0,1.0,32.0,56000.0,-50.42662167170535
307,3.0,20.0,38.0,16.0,87.0,3.0,35.0,68000.0,-82.13265813500385
308,3.0,3.0,77.0,10.0,110.0,2.0,29.0,72000.0,-35.97918642056753
309,3.0,19.0,96.0,10.0,163.0,3.0,30.0,48000.0,61.9269476042532
310,3.0,9.0,130.0,11.0,93.0,2.0,25.0,27000.0,-59.791472979948274
311,3.0,31.0,90.0,6.0,79.0,3.0,28.0,35000.0,-10.327566964744669
312,3.0,9.0,95.0,18.0,159.0,2.0,22.0,65000.0,98.94963880013974
313,3.0,23.0,48.0,13.0,61.0,2.0,22.0,75000.0,-47.7435732809585
314,4.0,1.0,123.0,19.0,134.0,1.0,31.0,93000.0,30.84179416725641
315,3.0,2.0,99.0,11.0,79.0,1.0,34.0,81000.0,-35.18844153872803
316,4.0,11.0,44.0,9.0,110.0,2.0,23.0,52000.0,-84.27084088724469
317,2.0,29.0,69.0,12.0,121.0,1.0,23.0,27000.0,-1.1121713918969984
318,2.0,1.0,90.0,11.0,149.0,2.0,23.0,62000.0,-36.39087394527327
